date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2018-12-14,1.1102,1.1852,1.2042,1.0791,5.66M,-6.33%
2018-12-13,1.1852,1.2394,1.3037,1.1596,5.30M,-4.37%
2018-12-12,1.2394,1.271,1.3106,1.2315,4.94M,-3.04%
2018-12-11,1.2783,1.2999,1.3332,1.2536,4.50M,-1.68%
2018-12-10,1.3,1.3547,1.3929,1.2807,4.62M,-4.03%
2018-12-09,1.3547,1.3128,1.4386,1.255,3.82M,3.19%
2018-12-08,1.3128,1.3103,1.3533,1.2023,4.64M,0.20%
2018-12-07,1.3103,1.2407,1.3496,1.1252,4.88M,5.60%
2018-12-06,1.2407,1.3734,1.4183,1.2299,3.97M,-9.65%
2018-12-05,1.3732,1.4814,1.5013,1.3725,4.23M,-7.30%
2018-12-04,1.4814,1.4655,1.5936,1.4126,2.47M,1.20%
2018-12-03,1.4637,1.6117,1.6169,1.4237,4.30M,-9.18%
2018-12-02,1.6117,1.6286,1.6552,1.5984,4.09M,-1.04%
2018-12-01,1.6286,1.5216,1.6519,1.4823,3.65M,7.03%
2018-11-30,1.5216,1.6538,1.6631,1.4429,3.45M,-7.99%
2018-11-29,1.6538,1.6075,1.7436,1.5268,4.51M,2.88%
2018-11-28,1.6076,1.4131,1.6561,1.4129,4.25M,13.77%
2018-11-27,1.4131,1.4397,1.4442,1.3354,3.60M,-1.85%
2018-11-26,1.4397,1.5673,1.5914,1.3754,3.58M,-8.15%
2018-11-25,1.5674,1.5284,1.5968,1.3462,3.52M,2.55%
2018-11-24,1.5285,1.7298,1.7998,1.4869,4.04M,-11.64%
2018-11-23,1.7298,1.8247,1.8481,1.6343,4.66M,-5.21%
2018-11-22,1.8248,2.0346,2.0693,1.8209,2.87M,-10.31%
2018-11-21,2.0346,1.9511,2.0485,1.871,3.48M,4.28%
2018-11-20,1.9511,2.2824,2.3227,1.7134,5.13M,-14.51%
2018-11-19,2.2824,2.7926,2.794,2.2034,3.69M,-18.27%
2018-11-18,2.7926,2.7126,2.8586,2.7123,3.12M,2.93%
2018-11-17,2.713,2.7475,2.7587,2.6847,1.99M,-1.26%
2018-11-16,2.7475,2.8146,2.945,2.6845,2.84M,-2.38%
2018-11-15,2.8146,2.8614,2.8781,2.6249,3.67M,-1.64%
2018-11-14,2.8614,3.2217,3.2683,2.727,3.38M,-11.18%
2018-11-13,3.2217,3.3027,3.3069,3.2155,1.28M,-2.53%
2018-11-12,3.3053,3.2222,3.3252,3.1807,1.46M,2.58%
2018-11-11,3.2222,3.3253,3.3423,3.1633,1.34M,-3.11%
2018-11-10,3.3256,3.3533,3.3638,3.3219,1.27M,-0.82%
2018-11-09,3.3532,3.3381,3.4097,3.308,1.31M,0.45%
2018-11-08,3.3381,3.4393,3.4674,3.3311,1.41M,-2.94%
2018-11-07,3.4393,3.4974,3.5393,3.4218,1.51M,-1.70%
2018-11-06,3.4989,3.3931,3.5481,3.3841,1.52M,3.12%
2018-11-05,3.3931,3.348,3.4327,3.2893,1.31M,1.36%
2018-11-04,3.3475,3.2022,3.3935,3.1879,1.25M,4.54%
2018-11-03,3.2022,3.2716,3.2877,3.1856,1.15M,-2.08%
2018-11-02,3.2701,3.2713,3.3037,3.2214,1.28M,-0.06%
2018-11-01,3.272,3.2844,3.3128,3.2104,1.33M,-0.37%
2018-10-31,3.2843,3.192,3.2987,3.0678,1.42M,2.79%
2018-10-30,3.1951,3.1202,3.1978,3.1114,1.16M,2.41%
2018-10-29,3.1201,3.2478,3.2541,3.052,1.43M,-3.93%
2018-10-28,3.2477,3.2225,3.2556,3.2051,1.07M,0.78%
2018-10-27,3.2225,3.3412,3.3561,3.1849,1.22M,-3.53%
2018-10-26,3.3404,3.3397,3.3706,3.3007,1.29M,0.02%
2018-10-25,3.3397,3.4535,3.4701,3.3369,1.24M,-3.32%
2018-10-24,3.4545,3.3954,3.5783,3.3788,1.47M,1.77%
2018-10-23,3.3945,3.4865,3.5275,3.385,1.41M,-2.60%
2018-10-22,3.4852,3.3729,3.5611,3.3286,1.69M,3.26%
2018-10-21,3.375,3.3683,3.4552,3.3591,1.16M,0.20%
2018-10-20,3.3683,3.3145,3.4237,3.2845,1.08M,1.62%
2018-10-19,3.3145,3.2733,3.3729,3.2183,1.15M,1.26%
2018-10-18,3.2733,3.325,3.4834,3.2286,2.07M,-1.72%
2018-10-17,3.3306,3.244,3.3662,3.1786,1.23M,2.67%
2018-10-16,3.244,3.2544,3.3229,3.1782,1.05M,-0.32%
2018-10-15,3.2545,3.027,3.4554,3.005,2.37M,7.52%
2018-10-14,3.027,3.0877,3.1205,3.0229,1.24M,-1.97%
2018-10-13,3.0878,3.0254,3.1057,3.0182,1.24M,2.06%
2018-10-12,3.0254,3.0023,3.1272,2.9764,1.57M,0.77%
2018-10-11,3.0023,3.5099,3.5111,2.9967,2.30M,-14.40%
2018-10-10,3.5075,3.5205,3.5925,3.4704,1.61M,-0.29%
2018-10-09,3.5179,3.525,3.556,3.452,1.78M,-0.24%
2018-10-08,3.5262,3.4814,3.5709,3.4775,1.72M,1.28%
2018-10-07,3.4817,3.4432,3.4959,3.4055,1.70M,1.12%
2018-10-06,3.4432,3.5259,3.5366,3.4107,2.49M,-2.35%
2018-10-05,3.5259,3.4712,3.55,3.4295,2.63M,1.51%
2018-10-04,3.4733,3.4272,3.5238,3.4125,2.49M,1.52%
2018-10-03,3.4213,3.5412,3.5529,3.3746,2.65M,-3.57%
2018-10-02,3.5479,3.624,3.7011,3.5198,2.36M,-2.23%
2018-10-01,3.6287,3.7141,3.769,3.5366,2.46M,-2.54%
2018-09-30,3.7233,3.6764,3.8195,3.6256,2.51M,1.05%
2018-09-29,3.6847,3.5245,3.749,3.4234,2.58M,4.54%
2018-09-28,3.5245,3.651,3.7063,3.4541,2.35M,-3.46%
2018-09-27,3.651,3.3514,3.7406,3.3061,2.32M,8.94%
2018-09-26,3.3514,3.3788,3.4787,3.2891,1.61M,-0.74%
2018-09-25,3.3764,3.4133,3.4133,3.208,2.20M,-1.03%
2018-09-24,3.4117,3.6336,3.6842,3.3486,2.52M,-6.11%
2018-09-23,3.6336,3.5592,3.7544,3.5382,1.99M,2.12%
2018-09-22,3.5583,3.7005,3.8407,3.4193,1.75M,-3.84%
2018-09-21,3.7005,3.3369,3.7343,3.3028,3.78M,10.90%
2018-09-20,3.3369,3.1304,3.397,3.1304,2.01M,6.60%
2018-09-19,3.1304,3.1621,3.2067,2.9945,2.09M,-1.00%
2018-09-18,3.1621,3.0921,3.2381,3.0546,2.10M,2.26%
2018-09-17,3.0921,3.4088,3.4403,3.0506,2.40M,-9.29%
2018-09-16,3.4088,3.5215,3.5215,3.2817,1.99M,-3.19%
2018-09-15,3.5211,3.4371,3.5633,3.4205,1.82M,2.44%
2018-09-14,3.4372,3.404,3.5308,3.3418,1.98M,0.97%
2018-09-13,3.404,3.2669,3.4779,3.2278,2.25M,4.30%
2018-09-12,3.2637,3.1844,3.2771,3.0382,2.34M,2.49%
2018-09-11,3.1844,3.4734,3.5694,3.0467,3.27M,-8.32%
2018-09-10,3.4733,3.3852,3.5737,3.3496,1.91M,2.60%
2018-09-09,3.3852,3.4007,3.6092,3.2861,2.16M,-0.46%
2018-09-08,3.4007,3.6752,3.7453,3.3353,2.89M,-7.47%
2018-09-07,3.6752,3.9596,4.0162,3.6247,3.00M,-7.16%
2018-09-06,3.9587,3.7339,3.9819,3.4186,4.12M,6.02%
2018-09-05,3.7339,4.806,5.0407,3.6939,3.79M,-22.31%
2018-09-04,4.806,4.4054,5.0734,4.3974,3.81M,9.09%
2018-09-03,4.4054,4.3591,4.5062,4.2137,1.72M,1.07%
2018-09-02,4.3588,4.5149,4.5407,4.1608,1.85M,-3.57%
2018-09-01,4.52,4.2214,4.5962,4.2047,1.89M,7.08%
2018-08-31,4.221,4.2227,4.3416,4.1328,1.58M,-0.04%
2018-08-30,4.2227,4.3583,4.3993,3.9649,1.93M,-3.11%
2018-08-29,4.3583,4.4581,4.6751,4.2575,2.17M,-2.25%
2018-08-28,4.4585,4.1681,4.519,4.1441,1.87M,6.96%
2018-08-27,4.1683,3.8208,4.2363,3.7519,1.75M,9.09%
2018-08-26,3.8208,3.8374,3.839,3.6659,1.09M,-0.42%
2018-08-25,3.837,3.8066,3.898,3.6436,1.05M,0.80%
2018-08-24,3.8066,3.6664,3.8596,3.6066,2.14M,3.82%
2018-08-23,3.6664,3.5131,3.7225,3.4576,1.27M,4.36%
2018-08-22,3.5132,3.8261,4.0987,3.4707,1.55M,-8.18%
2018-08-21,3.8261,3.654,3.9052,3.6348,1.49M,4.71%
2018-08-20,3.654,4.1496,4.2331,3.648,3.40M,-11.94%
2018-08-19,4.1496,4.0715,4.3472,3.9731,4.41M,1.92%
2018-08-18,4.0715,4.4395,4.5717,3.8282,4.96M,-8.22%
2018-08-17,4.4364,3.6987,4.4737,3.666,5.32M,19.94%
2018-08-16,3.6987,3.5434,3.8303,3.5074,4.78M,4.39%
2018-08-15,3.5431,3.5818,3.9704,3.5321,4.15M,-1.24%
2018-08-14,3.5877,3.6006,3.6132,3.2258,3.42M,-0.37%
2018-08-13,3.6011,4.0501,4.1446,3.5289,4.82M,-11.09%
2018-08-12,4.0501,4.1101,4.2464,3.9823,3.25M,-1.53%
2018-08-11,4.113,4.3283,4.3383,4.018,2.39M,-4.97%
2018-08-10,4.3283,4.7808,4.854,4.2903,2.70M,-9.50%
2018-08-09,4.7828,4.438,5.0793,4.3546,2.92M,7.77%
2018-08-08,4.438,4.8031,5.3184,4.2193,4.01M,-7.60%
2018-08-07,4.8031,5.2133,5.3774,4.754,2.08M,-7.86%
2018-08-06,5.213,5.4487,5.5458,5.17,1.67M,-4.28%
2018-08-05,5.4463,5.3673,5.5004,5.2913,1.57M,1.47%
2018-08-04,5.3673,5.4561,5.6783,5.1665,1.78M,-1.63%
2018-08-03,5.4561,5.5132,5.6299,5.1341,1.93M,-1.05%
2018-08-02,5.514,5.9253,6.0072,5.4895,2.35M,-6.94%
2018-08-01,5.9253,6.1195,6.1252,5.7441,3.31M,-3.19%
2018-07-31,6.1204,6.6934,6.6944,5.9726,1.69M,-8.56%
2018-07-30,6.6934,6.8389,6.9201,6.5822,2.33M,-2.13%
2018-07-29,6.8389,6.9338,6.9773,6.802,2.29M,-1.37%
2018-07-28,6.9338,7.0339,7.0466,6.8383,1.35M,-1.31%
2018-07-27,7.0261,6.8331,7.0711,6.7824,950.30K,2.82%
2018-07-26,6.8331,7.1502,7.3564,6.831,1.02M,-4.43%
2018-07-25,7.1502,7.18,7.2876,7.0146,1.34M,-0.41%
2018-07-24,7.18,6.8159,7.2647,6.7293,2.27M,5.34%
2018-07-23,6.8159,7.1648,7.3633,6.8045,846.32K,-4.87%
2018-07-22,7.1648,6.9821,7.4364,6.8663,712.71K,2.62%
2018-07-21,6.9821,6.7248,7.1314,6.6116,651.10K,3.83%
2018-07-20,6.7248,7.572,7.5845,6.7218,1.35M,-11.14%
2018-07-19,7.5677,7.9039,8.1174,7.5129,2.42M,-4.25%
2018-07-18,7.9039,7.8718,8.3724,7.7753,2.41M,0.41%
2018-07-17,7.8718,7.4422,8.0199,7.1897,1.91M,5.77%
2018-07-16,7.4422,6.8478,7.4639,6.7714,1.33M,8.68%
2018-07-15,6.8478,6.6823,6.9337,6.6154,811.88K,2.48%
2018-07-14,6.6823,6.7071,6.9034,6.6678,798.81K,-0.51%
2018-07-13,6.7166,6.717,7.2331,6.6739,1.19M,-0.01%
2018-07-12,6.717,6.8422,6.8683,6.4877,953.07K,-1.83%
2018-07-11,6.8422,6.8236,6.9827,6.6076,953.20K,0.27%
2018-07-10,6.8236,7.2091,7.4331,6.7969,1.35M,-5.28%
2018-07-09,7.2039,7.8147,7.8725,6.9969,1.48M,-7.81%
2018-07-08,7.8142,8.0579,8.2279,7.7784,922.55K,-3.08%
2018-07-07,8.0626,8.0696,8.1286,7.542,929.57K,-0.13%
2018-07-06,8.0732,8.1402,8.1482,7.8286,896.58K,-0.82%
2018-07-05,8.1402,8.1182,8.3597,7.9292,1.20M,0.29%
2018-07-04,8.1163,7.9318,8.5193,7.7529,1.27M,2.35%
2018-07-03,7.9301,8.3818,8.7419,7.8652,1.54M,-5.39%
2018-07-02,8.3818,7.9775,8.7725,7.7854,1.24M,5.05%
2018-07-01,7.9791,7.6195,8.1515,7.588,1.48M,4.68%
2018-06-30,7.6222,7.2001,7.7867,7.1125,741.11K,5.85%
2018-06-29,7.201,6.7352,7.2682,6.6909,697.03K,6.92%
2018-06-28,6.7352,7.2592,7.3131,6.7103,555.29K,-7.22%
2018-06-27,7.2593,7.2397,7.3112,7.1321,386.52K,0.16%
2018-06-26,7.2478,7.8302,7.8611,7.2291,369.18K,-7.45%
2018-06-25,7.8315,7.7865,8.0527,7.5302,541.94K,0.58%
2018-06-24,7.7864,8.2054,8.2229,7.1707,853.62K,-5.05%
2018-06-23,8.2009,8.2087,8.3859,7.9394,554.92K,-0.09%
2018-06-22,8.2087,8.9272,8.9704,8.0967,1.19M,-8.05%
2018-06-21,8.9273,9.1104,9.2179,8.8943,328.33K,-2.00%
2018-06-20,9.1095,9.2241,9.2318,8.921,479.28K,-1.24%
2018-06-19,9.2242,9.4,9.5742,9.1328,529.09K,-1.87%
2018-06-18,9.3999,9.0231,9.6166,8.9222,505.77K,4.18%
2018-06-17,9.0231,9.1495,9.3194,8.9848,341.42K,-1.34%
2018-06-16,9.1455,8.9195,9.4194,8.8868,532.45K,2.53%
2018-06-15,8.9195,9.4292,9.4894,8.8605,504.23K,-5.44%
2018-06-14,9.4331,8.7941,9.6499,8.767,1.01M,7.25%
2018-06-13,8.7957,9.0468,9.2822,8.6586,1.16M,-2.78%
2018-06-12,9.0474,9.9717,10.1242,8.9858,931.37K,-9.25%
2018-06-11,9.9699,9.4457,9.9889,9.259,733.24K,5.55%
2018-06-10,9.446,10.74,10.7468,9.271,1.40M,-12.08%
2018-06-09,10.7437,11.1055,11.2341,10.7118,545.84K,-3.26%
2018-06-08,11.1055,11.4476,11.5371,10.9787,571.55K,-2.96%
2018-06-07,11.4445,11.0609,12.0102,11.0535,915.76K,3.47%
2018-06-06,11.061,11.3119,11.3849,10.791,981.71K,-2.22%
2018-06-05,11.3119,11.0972,11.5348,10.5997,970.89K,1.93%
2018-06-04,11.0976,11.8068,12.0192,10.8851,1.36M,-6.01%
2018-06-03,11.8068,11.5556,12.3545,11.5469,1.43M,2.21%
2018-06-02,11.5512,10.8016,11.8619,10.6786,2.18M,6.94%
2018-06-01,10.8018,10.5785,10.8549,10.3704,1.65M,2.11%
2018-05-31,10.5786,10.3041,10.8938,10.241,1.01M,2.67%
2018-05-30,10.304,10.5055,10.8524,9.9292,754.25K,-1.96%
2018-05-29,10.5103,9.596,10.8041,9.5075,815.15K,9.52%
2018-05-28,9.5967,10.42,10.5925,9.5415,808.66K,-7.90%
2018-05-27,10.42,10.7882,10.7966,10.2344,1.11M,-3.41%
2018-05-26,10.7882,10.6991,11.1597,10.5277,564.56K,0.83%
2018-05-25,10.6993,11.1493,11.4785,10.5562,671.10K,-4.04%
2018-05-24,11.1492,10.5698,11.34,10.0554,1.05M,5.68%
2018-05-23,10.5498,11.4579,11.5875,10.0565,1.16M,-7.91%
2018-05-22,11.456,12.5434,12.9924,11.4043,527.20K,-8.66%
2018-05-21,12.5422,13.0439,13.122,12.2758,403.08K,-3.84%
2018-05-20,13.0428,12.4956,13.2844,12.3648,775.00K,4.24%
2018-05-19,12.5123,12.538,12.9061,12.3179,838.95K,-0.21%
2018-05-18,12.5386,12.3333,12.8186,11.9965,1.11M,1.66%
2018-05-17,12.3333,13.1447,13.5642,12.0992,961.32K,-6.24%
2018-05-16,13.1543,13.5384,13.5526,12.7564,549.70K,-2.84%
2018-05-15,13.5394,14.1806,14.5506,13.4888,487.01K,-4.52%
2018-05-14,14.1806,14.2042,14.6066,13.2035,1.02M,-0.17%
2018-05-13,14.2042,13.6771,14.6929,13.3224,979.61K,3.82%
2018-05-12,13.6815,13.2941,14.1278,12.4476,846.07K,2.91%
2018-05-11,13.2941,15.3454,15.3454,13.0631,1.46M,-13.35%
2018-05-10,15.3417,16.1147,16.4134,15.3146,1.00M,-4.74%
2018-05-09,16.1053,16.0153,16.7404,15.3282,720.05K,0.56%
2018-05-08,16.0153,16.6586,16.827,15.7618,749.92K,-5.28%
2018-05-07,16.9085,16.9708,17.0298,15.7938,930.36K,-0.37%
2018-05-06,16.9708,17.4476,17.7487,16.5655,773.31K,-2.84%
2018-05-05,17.4668,17.8784,18.0038,17.4279,1.01M,-2.30%
2018-05-04,17.8784,18.3409,18.3585,17.2385,1.30M,-2.52%
2018-05-03,18.3415,17.3505,19.0997,17.1496,2.11M,5.76%
2018-05-02,17.3432,17.0395,17.4055,16.6665,986.32K,1.72%
2018-05-01,17.0506,16.9971,17.1747,16.084,876.84K,0.34%
2018-04-30,16.992,18.1958,18.2093,16.8441,1.04M,-6.60%
2018-04-29,18.1923,18.1605,18.6271,17.1952,1.40M,0.26%
2018-04-28,18.1445,17.34,18.4441,17.2138,1.22M,4.65%
2018-04-27,17.3384,18.1739,18.9634,17.3071,2.28M,-4.60%
2018-04-26,18.1739,15.6003,20.7302,15.132,7.06M,16.53%
2018-04-25,15.5961,17.9805,17.9805,14.7359,2.98M,-13.27%
2018-04-24,17.9817,15.8363,18.6906,15.7183,3.24M,13.75%
2018-04-23,15.8082,15.1433,15.9355,15.1054,1.10M,4.39%
2018-04-22,15.1433,15.3159,15.9258,15.0543,1.09M,-1.13%
2018-04-21,15.3159,16.2926,16.2973,14.4049,2.12M,-5.99%
2018-04-20,16.2926,15.7096,16.4046,15.2857,2.04M,3.71%
2018-04-19,15.7096,15.0881,16.0323,14.8914,2.02M,4.29%
2018-04-18,15.063,14.2035,15.2375,14.2035,1.56M,6.05%
2018-04-17,14.2035,15.5044,15.7483,14.1597,2.80M,-8.39%
2018-04-16,15.5044,14.1701,15.6702,13.2005,4.17M,9.42%
2018-04-15,14.1701,13.7851,14.463,13.7851,1.61M,2.79%
2018-04-14,13.7851,12.6857,14.2158,12.6853,2.55M,8.67%
2018-04-13,12.6857,12.0989,16.9418,11.663,6.63M,4.85%
2018-04-12,12.0989,9.8072,12.3576,9.3944,3.68M,23.37%
2018-04-11,9.8071,9.2374,9.8317,9.2332,1.12M,6.14%
2018-04-10,9.2393,9.0768,9.3165,8.8565,622.14K,1.79%
2018-04-09,9.0768,9.5554,9.8118,8.8814,893.06K,-5.01%
2018-04-08,9.5554,9.3643,9.6587,9.2087,442.81K,2.04%
2018-04-07,9.3643,9.2391,9.6154,9.0666,670.32K,1.35%
2018-04-06,9.2391,8.8426,9.4997,8.6512,1.48M,4.48%
2018-04-05,8.8426,8.2145,9.5166,8.048,2.22M,7.59%
2018-04-04,8.219,9.4647,9.4647,8.1128,1.21M,-13.16%
2018-04-03,9.4647,8.697,9.7736,8.644,1.16M,8.77%
2018-04-02,8.7015,8.0864,9.4938,8.0151,1.55M,7.61%
2018-04-01,8.0864,8.1821,8.4312,7.4618,922.88K,-1.17%
2018-03-31,8.1821,8.2525,8.7272,8.1236,726.98K,-0.85%
2018-03-30,8.2525,8.4205,8.7164,7.9482,1.51M,-2.00%
2018-03-29,8.4205,9.6672,9.7816,8.2305,1.69M,-12.90%
2018-03-28,9.6672,9.7025,10.2087,9.607,768.34K,-0.36%
2018-03-27,9.7025,10.2546,10.3434,9.3188,969.15K,-5.38%
2018-03-26,10.2546,10.8513,10.9683,9.3692,1.28M,-5.50%
2018-03-25,10.8513,11.1171,11.1594,10.6069,872.81K,-2.39%
2018-03-24,11.1171,11.4994,11.856,11.0082,1.02M,-3.32%
2018-03-23,11.4994,11.4989,11.5464,10.507,1.09M,0.00%
2018-03-22,11.4989,11.8453,12.401,10.6863,1.56M,-2.92%
2018-03-21,11.8453,12.0882,12.648,11.4906,1.27M,-2.01%
2018-03-20,12.0882,11.5422,12.5157,10.5707,2.04M,4.80%
2018-03-19,11.5344,10.4341,11.5344,9.9662,1.74M,10.55%
2018-03-18,10.4341,9.6964,10.5814,8.3647,2.11M,7.66%
2018-03-17,9.6914,11.1738,11.2167,9.6246,1.35M,-13.27%
2018-03-16,11.1738,11.2231,11.9286,10.7534,1.18M,-0.44%
2018-03-15,11.2231,11.652,11.6846,10.2421,1.85M,-3.68%
2018-03-14,11.652,13.6886,13.7468,11.1627,1.17M,-14.88%
2018-03-13,13.6886,13.6857,14.1539,12.9675,848.12K,0.02%
2018-03-12,13.6857,14.5934,14.8087,13.29,775.54K,-6.22%
2018-03-11,14.5934,13.2966,14.9696,12.6482,1.08M,9.75%
2018-03-10,13.2966,14.863,15.3407,13.1198,1.49M,-10.41%
2018-03-09,14.8415,13.622,15.0981,11.569,2.05M,8.95%
2018-03-08,13.622,14.3735,15.2406,13.0882,1.30M,-5.23%
2018-03-07,14.3735,15.7325,16.3889,13.5084,1.44M,-8.64%
2018-03-06,15.7325,17.1418,17.1418,15.4398,1.12M,-8.26%
2018-03-05,17.1498,17.9327,18.0893,17.1057,685.74K,-4.37%
2018-03-04,17.9327,17.8091,18.4418,16.9925,893.76K,0.69%
2018-03-03,17.8091,18.5197,19.0732,17.6304,1.10M,-3.88%
2018-03-02,18.5279,19.1456,19.3476,17.7168,1.00M,-3.23%
2018-03-01,19.1456,18.3084,19.9703,18.2266,1.06M,4.57%
2018-02-28,18.3084,19.9078,20.8124,18.3064,1.73M,-8.05%
2018-02-27,19.9122,17.7831,20.8618,17.5736,1.63M,12.00%
2018-02-26,17.7784,16.5296,18.0853,15.9806,560.70K,7.59%
2018-02-25,16.5239,16.3742,17.3297,16.0483,500.97K,0.90%
2018-02-24,16.3768,17.3146,18.3138,15.9313,962.16K,-5.41%
2018-02-23,17.3125,16.3115,17.8659,15.5231,1.16M,6.14%
2018-02-22,16.3115,17.571,18.441,15.5816,1.46M,-7.12%
2018-02-21,17.5624,17.9237,19.1725,16.7693,1.87M,-2.01%
2018-02-20,17.9219,17.5611,19.7754,17.4586,1.75M,2.05%
2018-02-19,17.5611,16.3471,18.3753,16.0426,884.01K,7.43%
2018-02-18,16.3471,18.1978,18.2726,15.9659,756.45K,-10.17%
2018-02-17,18.1978,18.039,18.5826,17.5195,748.36K,0.90%
2018-02-16,18.0359,16.4881,18.1331,15.709,1.40M,9.38%
2018-02-15,16.4896,15.5913,16.7852,14.7296,812.62K,5.80%
2018-02-14,15.5852,12.87,15.7454,12.8627,1.15M,21.10%
2018-02-13,12.87,12.7282,12.991,12.131,284.89K,1.11%
2018-02-12,12.7282,11.7724,12.9918,11.7246,354.18K,8.12%
2018-02-11,11.7724,12.2809,12.5796,10.8435,441.83K,-4.05%
2018-02-10,12.2693,13.0647,13.6387,11.5882,733.12K,-6.09%
2018-02-09,13.0647,12.1781,13.1124,11.4085,645.93K,7.27%
2018-02-08,12.1788,10.8246,12.3263,10.8246,712.50K,12.54%
2018-02-07,10.8216,11.2845,12.4826,10.1017,1.09M,-4.06%
2018-02-06,11.2795,9.1177,11.3886,7.2015,1.96M,23.40%
2018-02-05,9.1407,11.5373,12.1693,8.515,1.63M,-20.68%
2018-02-04,11.5233,13.9634,14.1086,11.1414,699.43K,-17.63%
2018-02-03,13.989,13.1716,14.3585,11.8761,476.13K,6.21%
2018-02-02,13.1716,13.851,13.8739,10.3885,1.21M,-4.91%
2018-02-01,13.851,15.9071,16.0576,12.9742,1.06M,-12.93%
2018-01-31,15.9071,14.7953,16.1295,14.1186,743.03K,7.52%
2018-01-30,14.7953,16.8754,17.8493,14.314,1.40M,-12.35%
2018-01-29,16.88,17.179,17.49,16.05,761.88K,-1.74%
2018-01-28,17.179,15.808,17.421,15.555,1.71M,8.67%
2018-01-27,15.809,16.555,16.858,15.2,4.10M,-3.97%
2018-01-26,16.462,17.971,18.752,14.475,6.15M,-8.40%
2018-01-25,17.971,17.985,19.18,16.535,2.19M,-0.54%
2018-01-24,18.068,15.977,18.535,15.207,1.21M,13.08%
2018-01-23,15.978,15.607,16.56,14.058,1.24M,2.38%
2018-01-22,15.607,16.9,17.927,14.029,2.16M,-7.65%
2018-01-21,16.9,19.664,19.666,16.096,1.13M,-14.06%
2018-01-20,19.664,18.417,19.78,18.356,1.73M,6.77%
2018-01-19,18.417,17.244,18.86,16.618,1.39M,6.80%
2018-01-18,17.244,18.22,19.2,16.755,2.49M,-5.25%
2018-01-17,18.2,16.761,18.85,12.155,3.39M,7.41%
2018-01-16,16.945,22.34,22.408,13.55,5.10M,-24.12%
2018-01-15,22.33,23.422,24.55,22.192,1.19M,-4.64%
2018-01-14,23.417,25.5,25.67,21.784,1.27M,-8.17%
2018-01-13,25.5,22.758,25.95,22.291,2.09M,12.43%
2018-01-12,22.68,21.396,23,20.5,1.95M,6.00%
2018-01-11,21.396,23.165,23.801,19,3.12M,-7.66%
2018-01-10,23.17,25.1,25.41,21.5,2.33M,-7.69%
2018-01-09,25.1,23.73,26.24,22.5,3.60M,5.77%
2018-01-08,23.73,24.33,28.5,18.85,7.12M,-2.47%
2018-01-07,24.33,19.19,24.5,19.02,4.31M,26.78%
2018-01-06,19.19,18.59,19.81,18,1.56M,3.23%
2018-01-05,18.59,19.66,20.3,17.9,2.16M,-5.44%
2018-01-04,19.66,20.56,21.98,19.3,2.30M,-4.38%
2018-01-03,20.56,20.13,21.33,18.81,2.37M,2.14%
2018-01-02,20.13,19.18,22.64,18.51,4.75M,4.95%
2018-01-01,19.18,19.6,20.83,17.82,3.56M,-2.14%